Date,Open,High,Low,Close,Volume,Adj Close
2013-12-06,9.10,9.38,9.10,9.30,30417800,9.30
2013-12-05,9.08,9.24,9.08,9.18,28690900,9.18
2013-12-04,9.08,9.20,9.06,9.13,21900100,9.13
2013-12-03,9.28,9.28,9.12,9.14,15486600,9.14
2013-12-02,9.19,9.27,9.15,9.26,13678200,9.26
2013-11-29,9.18,9.26,9.11,9.19,16647200,9.19
2013-11-28,9.25,9.29,9.02,9.19,19445900,9.19
2013-11-27,9.10,9.22,9.02,9.20,25011700,9.20
2013-11-26,9.20,9.25,9.08,9.21,52438400,9.21
2013-11-25,9.07,9.20,8.97,9.18,24573700,9.18
2013-11-22,9.07,9.09,8.93,9.03,25477400,9.03
2013-11-21,9.05,9.08,8.98,9.03,34364200,9.03
2013-11-20,9.14,9.17,8.96,8.99,49972100,8.99
2013-11-19,9.50,9.50,9.15,9.24,54163200,9.18
2013-11-18,9.23,9.56,9.18,9.46,99698100,9.40
2013-11-15,8.88,9.05,8.87,8.99,50100400,8.93
2013-11-14,8.81,8.83,8.71,8.82,20804500,8.76
2013-11-13,8.87,8.87,8.58,8.75,43423200,8.69
2013-11-12,8.80,8.86,8.71,8.85,41265300,8.79
2013-11-11,8.60,8.83,8.57,8.79,65627200,8.73
2013-11-08,8.65,8.65,8.38,8.53,60147800,8.47
2013-11-07,8.34,8.74,8.30,8.60,59908100,8.54
2013-11-06,8.50,8.50,8.27,8.42,27129900,8.37
2013-11-05,8.45,8.47,8.40,8.44,31173800,8.39
2013-11-04,8.45,8.48,8.20,8.36,22823200,8.31
2013-11-01,8.42,8.48,8.36,8.44,40882100,8.39
2013-10-31,8.20,8.35,8.19,8.30,31366900,8.25
2013-10-30,8.15,8.20,8.08,8.18,25974200,8.13
2013-10-29,8.07,8.11,7.95,8.07,24056800,8.02
2013-10-28,7.96,8.06,7.92,8.06,26451600,8.01
2013-10-25,8.15,8.20,8.02,8.07,24045100,8.02
2013-10-24,8.25,8.25,8.08,8.13,30053400,8.08
2013-10-23,8.34,8.34,8.19,8.22,19534300,8.17
2013-10-22,8.20,8.30,8.16,8.26,31035700,8.21
2013-10-21,8.15,8.22,8.11,8.18,26094400,8.13
2013-10-18,8.15,8.17,7.89,8.07,55477700,8.02
2013-10-17,8.32,8.40,8.20,8.21,21253800,8.16
2013-10-16,8.38,8.42,8.28,8.32,22782400,8.27
2013-10-15,8.36,8.40,8.33,8.33,15416400,8.28
2013-10-14,8.33,8.33,8.33,8.33,000,8.28
2013-10-11,8.35,8.40,8.28,8.33,26420800,8.28
2013-10-10,8.26,8.26,8.10,8.23,19510200,8.18
2013-10-09,8.18,8.19,8.12,8.12,15321900,8.07
2013-10-08,8.15,8.23,8.11,8.19,19535000,8.14
2013-10-07,8.24,8.24,8.12,8.18,16276200,8.13
2013-10-04,8.11,8.25,8.11,8.21,20941500,8.16
2013-10-03,8.15,8.20,8.08,8.15,20585700,8.10
2013-10-02,8.10,8.20,8.06,8.10,25456600,8.05
2013-10-01,8.11,8.11,8.11,8.11,000,8.06
2013-09-30,8.13,8.20,8.06,8.11,27210700,8.06
2013-09-27,8.30,8.30,8.21,8.26,24592200,8.21
2013-09-26,8.17,8.30,8.08,8.23,29018200,8.18
2013-09-25,8.26,8.28,8.14,8.15,30209200,8.10
2013-09-24,8.04,8.25,8.00,8.22,65864900,8.17
2013-09-23,8.11,8.21,7.93,7.97,29917400,7.92
2013-09-20,8.12,8.12,8.12,8.12,000,8.07
2013-09-19,8.22,8.25,8.11,8.12,30883300,8.07
2013-09-18,8.15,8.18,8.10,8.11,26884100,8.06
2013-09-17,8.05,8.15,7.97,8.14,41210400,8.09
2013-09-16,8.05,8.10,7.91,8.04,36301400,7.99
2013-09-13,7.99,7.99,7.80,7.95,30470200,7.90
2013-09-12,8.06,8.08,7.85,7.90,29211200,7.85
2013-09-11,8.20,8.20,7.93,7.97,53650300,7.92
2013-09-10,7.94,8.05,7.93,8.04,95873900,7.99
2013-09-09,7.64,7.75,7.64,7.74,49870700,7.69
2013-09-06,7.65,7.65,7.52,7.55,27255400,7.50
2013-09-05,7.56,7.64,7.52,7.60,39801200,7.55
2013-09-04,7.55,7.62,7.45,7.50,32310200,7.45
2013-09-03,7.74,7.74,7.58,7.61,28961500,7.56
2013-09-02,7.54,7.59,7.45,7.55,36063700,7.50
2013-08-30,7.41,7.52,7.40,7.50,25131800,7.45
2013-08-29,7.46,7.54,7.36,7.52,27269100,7.47
2013-08-28,7.42,7.45,7.34,7.39,38315900,7.34
2013-08-27,7.48,7.57,7.41,7.52,35896000,7.47
2013-08-26,7.45,7.45,7.35,7.39,16968400,7.34
2013-08-23,7.50,7.54,7.32,7.40,28937600,7.35
2013-08-22,7.24,7.49,7.24,7.45,33747100,7.40
2013-08-21,7.37,7.43,7.15,7.33,43789600,7.28
2013-08-20,7.68,7.68,7.23,7.30,99115100,7.25
2013-08-19,7.92,7.92,7.67,7.68,36112600,7.63
2013-08-16,7.72,7.90,7.68,7.88,62139300,7.83
2013-08-15,7.67,7.80,7.66,7.72,78333100,7.67
2013-08-14,7.56,7.56,7.56,7.56,000,7.51
2013-08-13,7.58,7.63,7.41,7.56,42762900,7.51
2013-08-12,7.56,7.69,7.54,7.63,35658800,7.58
2013-08-09,7.59,7.60,7.43,7.55,43608400,7.50
2013-08-08,7.40,7.45,7.36,7.41,30120800,7.36
2013-08-07,7.39,7.53,7.29,7.31,72878800,7.26
2013-08-06,7.18,7.39,7.07,7.36,51484400,7.31
2013-08-05,7.20,7.25,7.13,7.21,23201200,7.16
2013-08-02,7.16,7.19,7.10,7.18,19154200,7.13
2013-08-01,7.18,7.19,7.10,7.12,25715400,7.07
2013-07-31,7.10,7.12,7.02,7.07,23219400,7.02
2013-07-30,7.16,7.16,7.00,7.07,22651300,7.02
2013-07-29,7.10,7.22,7.06,7.15,23529000,7.10
2013-07-26,7.07,7.18,7.07,7.13,19064800,7.08
2013-07-25,7.03,7.20,7.03,7.10,20451000,7.05
2013-07-24,7.06,7.09,7.00,7.04,21436000,6.99
2013-07-23,6.92,7.10,6.92,7.06,42913200,7.01
2013-07-22,6.98,7.04,6.86,6.92,23087200,6.88
2013-07-19,7.00,7.04,6.92,7.01,29630700,6.96
2013-07-18,7.18,7.21,7.05,7.06,19508300,7.01
2013-07-17,7.30,7.34,7.22,7.27,25337400,7.08
